Read,Owned,Published,Title,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
,,1986-09-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/it.html"", ""IT"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/television/it.html"", ""IT(Television)"")",✓,✓,,✓,✓,
,,1986-09-22,"=HYPERLINK(""https://www.stephenking.com/works/speech/banned-books-and-other-concerns-the-virginia-beach-lecture.html"", ""Banned Books and Other Concerns The Virginia Beach Lecture"")",Speech,,,,,,,
,,1986-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/demons.html"", ""Demons"")",Anthology,,,✓,,,,
,,1986-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-the-drawing-of-the-three.html"", ""The Dark Tower The Drawing of the Three"")",Limited Edition,,✓,✓,✓,✓,✓,
,,1987-06-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/masques-ii.html"", ""Masques II"")",Anthology,,✓,,,,,
,,1987-06-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/misery.html"", ""Misery"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/misery.html"", ""Misery(Movie)"")",✓,✓,,✓,✓,
,,1987-10-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-descent.html"", ""Dark Descent"")",Anthology,,✓,,,,,
,,1987-11-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/tommyknockers.html"", ""The Tommyknockers"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/tommyknockers.html"", ""The Tommyknockers(Audiobook)"")",✓,✓,,✓,,✓
,,1987-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/night-visions-5.html"", ""Night Visions 5"")",Anthology,,✓,,,,,
,,1987-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/my-pretty-pony.html"", ""My Pretty Pony"")",Limited Edition,,✓,,✓,✓,,
,,1987-12-01,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/nightmares-in-the-sky.html"", ""Nightmares in the Sky"")",Nonfiction,,✓,,,,,
,,1987-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/reploids.html"", ""The Reploids"")",Short Story,,,,,,,
,,1988-06-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/prime-evil.html"", ""Prime Evil"")",Anthology,"=HYPERLINK(""https://www.stephenking.com/works/movie/night-flier.html"", ""The Night Flier(Movie)"")",✓,,,,✓,
,,1988-09-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/letters-from-hell.html"", ""Letters from Hell"")",Limited Edition,,,,,,,
,,1988-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/book-of-the-dead.html"", ""The Book of the Dead"")",Anthology,,✓,,,,✓,
,,1988-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dolans-cadillac.html"", ""Dolan's Cadillac"")",Limited Edition,,✓,,,✓,✓,
,,1989-09-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/my-pretty-pony-(trade-edition).html"", ""My Pretty Pony Trade Edition"")",Limited Edition,,✓,✓,,,,
,,1989-11-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/dark-half.html"", ""The Dark Half"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/dark-half.html"", ""The Dark Half(Movie)"")",✓,✓,,✓,✓,
,,1989-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/complete-masters-of-darkness.html"", ""The Complete Masters of Darkness"")",Anthology,,,,,,,
,,1989-12-01,"=HYPERLINK(""https://www.stephenking.com/works/interview/faces-of-fear.html"", ""Faces of Fear"")",Interview,,,,,,,
,,1989-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/stand-the-complete-and-uncut-edition.html"", ""The Stand The Complete and Uncut Edition"")",Limited Edition,,✓,,,,,
,,1990-05-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/stand-the-complete-uncut-edition.html"", ""The Stand The Complete Uncut Edition"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/television/stand-(2020).html"", ""The Stand (2020)(Television)"")",✓,✓,,,✓,✓
,,1990-09-01,"=HYPERLINK(""https://www.stephenking.com/works/collection/four-past-midnight.html"", ""Four Past Midnight"")",Story Collection,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/langoliers-one-past-midnight.html"", ""The Langoliers: One Past Midnight(Audiobook)"")",✓,✓,,✓,✓,
,,1990-09-24,"=HYPERLINK(""https://www.stephenking.com/works/novella/langoliers.html"", ""The Langoliers"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/langoliers-one-past-midnight.html"", ""The Langoliers: One Past Midnight(Audiobook)"")",,,✓,✓,✓,
,,1990-09-24,"=HYPERLINK(""https://www.stephenking.com/works/novella/library-policeman.html"", ""The Library Policeman"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/library-policeman-three-past-midnight.html"", ""The Library Policeman: Three Past Midnight(Audiobook)"")",,,,✓,✓,
,,1990-09-24,"=HYPERLINK(""https://www.stephenking.com/works/novella/secret-window-secret-garden.html"", ""Secret Window, Secret Garden"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/secret-window-secret-garden-two-past-midnight.html"", ""Secret Window, Secret Garden: Two Past Midnight(Audiobook)"")",,,,✓,✓,
,,1990-09-24,"=HYPERLINK(""https://www.stephenking.com/works/novella/sun-dog.html"", ""The Sun Dog"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/sun-dog-four-past-midnight.html"", ""The Sun Dog: Four Past Midnight(Audiobook)"")",,,,✓,,
,,1990-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/best-american-sports-writing-1991.html"", ""Best American Sports Writing, 1991"")",Anthology,,,✓,,,,
,,1990-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/color-of-evil-(dark-descent).html"", ""The Color of Evil Dark Descent"")",Anthology,,,,,,,
,,1990-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/i-shudder-at-your-touch.html"", ""I Shudder At Your Touch"")",Anthology,,✓,✓,,,,
,,1990-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/shock-rock.html"", ""Shock Rock"")",Anthology,,,✓,,,,
,,1990-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-the-waste-lands.html"", ""The Dark Tower The Waste Lands"")",Limited Edition,,✓,✓,✓,✓,✓,
