Title,Published,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
"=HYPERLINK(""https://www.stephenking.com/works/short/reapers-image.html"", ""The Reaper's Image"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/survivor-type.html"", ""Survivor Type"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/uncle-ottos-truck.html"", ""Uncle Otto's Truck"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/wedding-gig.html"", ""The Wedding Gig"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/word-processor-of-the-gods.html"", ""Word Processor of the Gods"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/new-terrors-omnibus.html"", ""New Terrors Omnibus"")",1985-07-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/bachman-books.html"", ""The Bachman Books"")",1985-10-01,Bachman Novel,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/new-adventures-of-sherlock-holmes.html"", ""New Adventures of Sherlock Holmes"")",1985-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/strange-maine.html"", ""Strange Maine"")",1985-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/it.html"", ""IT"")",1986-09-01,Novel,,Yes,,,,Yes,
